group,Matriline,AnimalID.text,DOB,MaternalID.text,Birth.Season,ExitAge2,First_born,Died,MomAllLossType,High_temperature,High_temperatureLog,Rainfall,RainfallLog,Group_size,Group_sizeLog,Maternal_kin_count,Maternal_kin_countLog,Matriline_rank,CompetingSib,Maternal_loss,Hurricane,female,CumulIndex,Cumulative_early_life_adversity,censored,time,timeYr
R,'091,'07L,36166,'95A,1999,5241,N,1,0,0.295617725,0.303602761,-0.325044592,-0.24825081,-0.010463467,0.261972999,0.187557518,0.440336861,H,N,N,0None,F,2.532548699,-1.075477759,0,5242,14.36164384
I,'091,'H03,30335,'970,1983,3694,Y,1,0,-0.021967248,-0.012463319,-0.389130213,-0.319207882,0.512188204,0.627332032,-0.310491852,-0.07270889,H,N,N,0None,F,3.640309402,0.252680466,0,3695,10.12328767
F,'065,'24B,33977,'985,1993,8439,N,1,0,0.64275637,0.646929214,-1.142979492,-1.236133037,0.733310064,0.758164321,1.681705628,1.438343098,H,N,N,0None,F,2.76201954,-0.800351927,0,8440,23.12328767
J,'031,'B20,29237,'9H,1980,1516,N,0,1,0.304999847,0.312911283,-1.345355138,-1.512641321,-0.392401226,-0.077599245,-0.310491852,-0.07270889,H,N,Y,0None,F,3.668999699,0.287078918,1,1517,4.156164384
I,'091,'I33,31072,'A26,1985,1861,N,0,0,-0.894974049,-0.891178146,-0.058021171,0.037375151,1.235859748,1.018191638,0.685606888,0.838286063,H,N,N,0None,F,2.454803402,-1.168691081,1,1862,5.101369863
I,'091,'I98,31069,'A31,1985,1836,N,0,0,-0.902948849,-0.899272917,-0.01361096,0.08338959,1.175553786,0.989313628,0.187557518,0.440336861,H,N,N,0None,F,2.482133288,-1.135923704,1,1837,5.032876712
L,'RB,'H82,30699,'A65,1984,2974,Y,0,0,-0.980820507,-0.978381385,-0.127728338,-0.035683873,-0.332095264,-0.018480457,-0.808541222,-0.795806263,H,N,N,0None,F,3.246133786,-0.219919424,1,2975,8.150684932
L,'RB,'I10,30699,'A91,1984,2967,Y,0,0,-0.980820507,-0.978381385,-0.127728338,-0.035683873,-0.332095264,-0.018480457,-1.306590592,-2.031949388,H,N,N,0None,F,3.296133786,-0.159971539,1,2968,8.131506849
L,'RB,'L51,31778,'A91,1987,1888,N,0,0,0.472001692,0.478328868,1.356078652,1.3328546,0.230760381,0.441943177,-0.808541222,-0.795806263,H,N,N,0None,F,2.445449268,-1.179906293,1,1889,5.175342466
L,'RB,'O02,32147,'A91,1988,1526,N,0,0,-0.230250432,-0.220783079,-0.088377518,0.005685597,0.492086217,0.614839036,-0.808541222,-0.795806263,H,N,N,0None,F,2.589774779,-1.00686611,1,1527,4.183561644
F,'065,'I12,30701,'B72,1984,6620,Y,0,0,-0.962525347,-0.959784987,-0.144874052,-0.05381291,-0.653727061,-0.365479842,-0.808541222,-0.795806263,H,N,N,0None,F,3.180952267,-0.298069308,1,6621,18.13972603
F,'065,'L26,31795,'B72,1987,5518,N,0,1,0.429782116,0.436558759,1.428877668,1.391533902,0.009638521,0.277842539,-0.808541222,-0.795806263,H,N,Y,0None,F,3.374462521,-0.066058699,1,5519,15.12054795
Q,'091,'V67,32904,'C13,1990,1482,N,0,0,-0.400066905,-0.391240106,-0.076291194,0.018325952,-0.311993276,0.00070829,2.179754998,1.676479986,H,N,N,0None,F,2.070134224,-1.629893155,1,1483,4.063013699
F,'065,'J95,31439,'C26,1986,6360,N,1,0,-0.138774701,-0.129189985,-0.23200801,-0.146936718,-0.412503213,-0.097846714,-0.808541222,-0.795806263,H,N,N,0None,F,2.431170377,-1.197026079,0,6361,17.42739726
F,'065,'73B,34365,'C26,1994,7161,N,1,0,0.843064754,0.844026206,-1.899639544,-2.355468411,1.255961735,1.02769276,0.685606888,0.838286063,H,N,N,0None,F,3.149355213,-0.335952839,0,7162,19.62191781
F,'065,'Z11,33614,'C87,1992,6625,N,0,0,-0.110628334,-0.101039462,1.08708769,1.110085845,1.859021355,1.287412563,0.685606888,0.838286063,H,N,N,0None,F,2.576645466,-1.022607601,1,6626,18.15342466
R,'091,'T95,32897,'D07,1990,7894,N,1,0,-0.423991339,-0.415299097,-0.043967307,0.051980901,-0.854746934,-0.63311297,-0.310491852,-0.07270889,H,N,N,0None,F,2.187852268,-1.488754199,0,7895,21.63013699
R,'091,'X91,33265,'D07,1991,10237,N,1,0,-0.274346432,-0.264992511,-0.997381458,-1.045944105,-0.593421099,-0.293859873,-1.306590592,-2.031949388,H,Y,N,0None,F,2.538233493,-1.068661931,0,10238,28.04931507
R,'091,'95A,33973,'D07,1993,5095,N,1,0,0.611326256,0.615936065,-1.029986423,-1.087932508,-0.392401226,-0.077599245,-1.306590592,-2.031949388,H,N,N,0None,F,2.784013625,-0.773981949,0,5096,13.96164384
R,'091,'38E,35071,'D07,1996,5169,N,0,0,-0.594746016,-0.587333431,-0.120982483,-0.028568478,-0.110973403,0.179945058,-0.310491852,-0.07270889,H,N,N,0None,F,2.32969458,-1.318691266,1,5170,14.16438356
L,'RB,'O00,32172,'D16,1988,1486,N,0,0,-0.219930089,-0.210441535,0.003534755,0.101045954,0.69310609,0.735227633,-0.310491852,-0.07270889,H,N,N,0None,F,2.571784469,-1.02843573,1,1487,4.073972603
I,'091,'K39,31438,'D51,1986,1495,N,0,0,-0.141589346,-0.132005872,-0.23200801,-0.146936718,-0.010463467,0.261972999,1.183656258,1.163434235,H,N,N,0None,F,2.320639797,-1.329547569,1,1496,4.098630137
Q,'091,'N57,32144,'D59,1988,2243,N,0,0,-0.233065077,-0.223603858,-0.050713161,0.044975276,-0.81454296,-0.575540172,1.183656258,1.163434235,H,N,N,0None,F,2.090087027,-1.605970588,1,2244,6.147945205
Q,'091,'T23,32519,'D59,1989,1881,N,0,0,-0.961587144,-0.958831512,0.01646431,0.114320933,-0.714033023,-0.440774201,1.183656258,1.163434235,H,N,N,Hugo,F,2.940769207,-0.586038637,1,1882,5.156164384
L,'RB,'O11,32172,'E95,1988,1493,N,0,0,-0.219930089,-0.210441535,0.003534755,0.101045954,0.69310609,0.735227633,-0.310491852,-0.07270889,H,N,N,0None,F,2.571784469,-1.02843573,1,1494,4.093150685
F,'065,'V37,32901,'F25,1990,7346,N,1,0,-0.418831167,-0.410108976,-0.047621311,0.048187363,0.572494166,0.66418547,0.187557518,0.440336861,H,Y,N,0None,F,2.459418679,-1.163157559,0,7347,20.12876712
F,'065,'61A,33990,'F25,1993,6332,N,1,0,0.664804379,0.668659836,-1.063153543,-1.130996638,0.813718014,0.802989733,0.685606888,0.838286063,H,Y,N,0None,F,2.871601714,-0.668967536,0,6333,17.35068493
F,'065,'C87,29612,'FB,1981,7507,N,0,0,-0.388339257,-0.379450504,0.643266656,0.720219869,-0.573319112,-0.270742573,-0.310491852,-0.07270889,H,N,N,0None,F,2.144294758,-1.540977811,1,7508,20.56986301
F,'065,'N12,31796,'FB,1987,9334,N,1,0,0.419461773,0.426343255,1.464012329,1.419618159,0.029740508,0.293542349,1.681705628,1.438343098,H,N,N,0None,F,2.120838359,-1.569101042,0,9335,25.57534247
Q,'091,'R91,32524,'G31,1989,1862,N,0,0,-0.928280588,-0.924993978,-0.059707635,0.035619693,-0.693931036,-0.415244546,0.187557518,0.440336861,H,N,N,Hugo,F,3.065307336,-0.436722689,1,1863,5.104109589
L,'RB,'L50,31780,'G40,1987,1878,Y,0,0,0.456052076,0.462552936,1.440963992,1.401212062,0.270964356,0.469904368,-0.808541222,-0.795806263,H,N,N,0None,F,3.436800593,0.008682013,1,1879,5.147945205
L,'RB,'O12,32162,'G40,1988,1503,N,0,0,-0.238225231,-0.22877565,0.058625903,0.157374274,0.612698141,0.688250242,-0.310491852,-0.07270889,H,N,N,0None,F,2.540554789,-1.065878795,1,1504,4.120547945
Q,'091,'N63,32144,'H03,1988,2231,Y,0,0,-0.233065077,-0.223603858,-0.050713161,0.044975276,-0.81454296,-0.575540172,-0.310491852,-0.07270889,H,N,N,0None,F,3.240087027,-0.227169232,1,2232,6.115068493
F,'065,'R65,32530,'H74,1989,8229,Y,1,0,-0.908109021,-0.904511378,0.077458081,0.176489855,0.170454419,0.39897665,-0.808541222,-0.795806263,H,N,N,Hugo,F,4.3405995,1.092298672,0,8230,22.54794521
F,'065,'82A,33998,'H74,1993,9029,N,1,0,0.682161301,0.685760607,-1.073553403,-1.144573797,0.833820001,0.813985426,-0.310491852,-0.07270889,H,N,N,0None,F,2.981666123,-0.537004964,0,9030,24.73972603
F,'065,'43J,35807,'H74,1998,7277,N,0,0,1.020386942,1.017893311,-0.072356112,0.022434775,2.019837253,1.349555946,1.183656258,1.163434235,H,Y,N,Georges,F,4.005231801,0.690206987,1,7278,19.93972603
L,'RB,'N87,32145,'I04,1988,1513,Y,0,0,-0.235410603,-0.225954611,-0.076291194,0.018325952,0.512188204,0.627332032,-0.808541222,-0.795806263,H,N,N,0None,F,3.591128,0.193714045,1,1514,4.147945205
F,'065,'96F,35431,'I68,1997,1466,N,1,1,0.819140338,0.820524029,-1.356879306,-1.528839665,1.838919367,1.279456348,0.685606888,0.838286063,H,N,Y,0None,F,4.184294844,0.904896001,0,1467,4.019178082
A,'069,'4D,24497,'LV,1967,1745,N,0,1,-1.923255031,-1.945307606,-1.953044228,-2.444405783,-0.21148334,0.093060638,-0.808541222,-0.795806263,H,N,Y,0None,F,3.36940932,-0.072117273,1,1746,4.783561644
F,'065,'35N,36526,'N12,2000,6295,N,1,0,1.323898706,1.314168148,-0.226667542,-0.141180758,2.160551164,1.401853727,-0.310491852,-0.07270889,H,N,N,0None,F,3.279397915,-0.18003714,0,6296,17.24931507
F,'065,'68V,37989,'N12,2004,5143,N,1,0,0.752527244,0.75503138,0.04850712,0.147074032,0.773514039,0.780748123,-0.808541222,-0.795806263,H,N,N,0None,F,2.846751678,-0.698761678,0,5144,14.09315068
F,'065,'42B,33979,'R65,1993,6239,Y,0,0,0.647916541,0.652015905,-1.162935979,-1.262753685,0.753412052,0.769499653,-0.808541222,-0.795806263,H,N,N,0None,F,4.020986373,0.709096053,1,6240,17.09589041
I,'091,'317,25593,'WE,1970,4770,N,1,0,-2.050382844,-2.07710601,2.375545965,2.099651352,-1.437704567,-1.906532826,0.187557518,0.440336861,H,N,N,0None,F,1.24552597,-2.618563571,0,4771,13.07123288
I,'091,'C97,29599,'WE,1981,3311,N,0,0,-0.447915755,-0.439369045,0.942613965,0.98636553,-0.332095264,-0.018480457,3.175853738,2.074429187,H,N,N,0None,F,1.78534478,-1.971343651,1,3312,9.073972603
I,'091,'G51,30334,'WE,1983,2576,N,0,0,-0.006017632,0.00345525,-0.401216536,-0.332699674,0.512188204,0.627332032,4.171952478,2.39957736,H,N,N,0None,F,2.195839914,-1.47917735,1,2577,7.060273973
