group,Matriline,AnimalID.text,DOB,Sex,MaternalID.text,Birth.Season,csi_ff_avg,ExitAge2,Died,s_csiff,censored,time,ExitFour,CensorFour,ExitFourYr
F,'065,'3L1,40453,MALE,'92D,2011,1.028470789,2631,0,0.055130428,1,2632,1460,1,4
F,'065,'8I4,40231,FEMALE,'Z14,2010,1.042841762,353,0,0.083753378,1,354,353,1,0.967123288
F,'073,'7N8,40838,FEMALE,'00J,2012,0.828598997,775,0,-0.34295816,1,776,775,1,2.123287671
F,'073,'8N0,40806,FEMALE,'03J,2012,1.12971887,861,0,0.256788226,1,862,861,1,2.35890411
F,'065,'9N1,40771,FEMALE,'04N,2012,1.409591639,2313,0,0.814216334,1,2314,1460,1,4
F,'065,'8M8,40816,FEMALE,'0A4,2012,1.37125606,809,0,0.737862605,1,810,809,1,2.216438356
F,'073,'6N8,40792,FEMALE,'0A9,2012,1.639136019,833,0,1.271404399,1,834,833,1,2.282191781
F,'004,'8N8,40832,FEMALE,'1A3,2012,0.604987959,1515,0,-0.788328669,1,1516,1460,1,4
F,'004,'9N8,40818,MALE,'20F,2012,0.704726135,836,0,-0.589678179,1,837,836,1,2.290410959
F,'073,'1N5,40807,FEMALE,'29B,2012,0.676430975,818,0,-0.646034207,1,819,818,1,2.24109589
F,'004,'I122A7-K,40769,,'2A7,2012,1.535890662,2,1,1.065768586,0,3,2,0,0.005479452
F,'004,'1N2,40817,FEMALE,'2A7,2012,1.535890662,1487,0,1.065768586,1,1488,1460,1,4
F,'004,'1N7,40796,MALE,'2A8,2012,1.872200232,817,0,1.735602985,1,818,817,1,2.238356164
F,'004,'2N6,40795,FEMALE,'32S,2012,1.443959364,3024,1,0.882667209,0,3025,1460,1,4
F,'004,'9M2,40795,MALE,'34N,2012,0.919922375,2289,0,-0.161067588,1,2290,1460,1,4
F,'065,'I1235N,40785,MALE,'35N,2012,0.730790545,428,1,-0.537765181,0,429,428,0,1.17260274
F,'004,'9M5,40808,MALE,'40L,2012,1.376381915,3547,1,0.748071872,0,3548,1460,1,4
F,'065,'2N5,40815,MALE,'43F,2012,0.963058928,797,0,-0.075151665,1,798,797,1,2.183561644
F,'065,'0N9,40848,MALE,'43J,2012,0.533259192,772,0,-0.931192268,1,773,772,1,2.115068493
F,'004,'1N8,40789,FEMALE,'44J,2012,1.709382154,878,0,1.411315009,1,879,878,1,2.405479452
F,'004,'1N6,40808,MALE,'50I,2012,0.55676798,811,0,-0.884369351,1,812,811,1,2.221917808
F,'004,'9M6,40808,FEMALE,'50S,2012,0.630311723,2276,0,-0.737890829,1,2277,1460,1,4
F,'004,'7N6,40791,FEMALE,'55V,2012,0.548376624,1549,0,-0.901082582,1,1550,1460,1,4
F,'065,'2N3,40847,MALE,'56E,2012,0.704447685,820,0,-0.590232773,1,821,820,1,2.246575342
F,'004,'9M3,40866,FEMALE,'57H,2012,1.026632984,1459,0,0.051470034,1,1460,1459,1,3.997260274
F,'004,'2N2,40803,MALE,'61J,2012,1.421464752,2281,0,0.837864248,1,2282,1460,1,4
F,'065,'I1262H,40807,MALE,'62H,2012,0.930733429,153,1,-0.139534998,0,154,153,0,0.419178082
F,'073,'9M0,40818,FEMALE,'62V,2012,0.612257969,836,0,-0.773848848,1,837,836,1,2.290410959
F,'004,'6N1,40830,MALE,'63V,2012,0.730235123,824,0,-0.538871425,1,825,824,1,2.257534247
F,'065,'1N9,40800,FEMALE,'64D,2012,0.543409331,2284,0,-0.910976037,1,2285,1460,1,4
F,'065,'9N3,40789,FEMALE,'64P,2012,0.657968522,2295,0,-0.682806238,1,2296,1460,1,4
F,'065,'2N8,40814,MALE,'73B,2012,0.925799454,2270,0,-0.149362094,1,2271,1460,1,4
F,'073,'8N4,40766,FEMALE,'74S,2012,1.126581267,2167,1,0.250538999,0,2168,1460,1,4
F,'004,'2N0,40773,MALE,'79Z,2012,0.466572384,2311,0,-1.064013697,1,2312,1460,1,4
F,'065,'8N6,40777,FEMALE,'82A,2012,0.945712973,3029,1,-0.109699945,0,3030,1460,1,4
F,'004,'9M1,40819,FEMALE,'82L,2012,0.945887556,806,0,-0.109352226,1,807,806,1,2.208219178
F,'004,'7N7,40791,FEMALE,'87K,2012,1.413046012,2293,0,0.821096477,1,2294,1460,1,4
F,'065,'9M4,40810,FEMALE,'88I,2012,1.566703109,2274,0,1.127138344,1,2275,1460,1,4
F,'004,'I1290D,40878,FEMALE,'90D,2012,0.572186502,11,1,-0.853659977,0,12,11,0,0.030136986
F,'065,'I1292D,40874,FEMALE,'92D,2012,0.39673132,212,1,-1.203117521,0,213,212,0,0.580821918
F,'073,'9N4,40777,FEMALE,'93Z,2012,0.655769813,2307,0,-0.68718545,1,2308,1460,1,4
F,'065,'6N7,40805,MALE,'98T,2012,1.56593691,849,0,1.125612291,1,850,849,1,2.326027397
F,'073,'6P3,41166,MALE,'03J,2013,1.453782622,1918,0,0.902232386,1,1919,1460,1,4
F,'065,'8P2,41199,FEMALE,'0A4,2013,0.517399112,751,0,-0.962781102,1,752,751,1,2.057534247
F,'073,'3P0,41162,MALE,'0A9,2013,1.157248781,500,0,0.311620091,1,501,500,1,1.369863014
F,'004,'5P7,41166,FEMALE,'0C6,2013,1.892107922,1139,0,1.775253523,1,1140,1139,1,3.120547945
F,'004,'6P8,41195,MALE,'1A3,2013,0.81271868,2145,1,-0.3745873,0,2146,1460,1,4
F,'073,'0O1,41189,MALE,'29B,2013,0.419949297,424,1,-1.156873819,0,425,424,0,1.161643836
F,'004,'1Q2,41190,FEMALE,'2A7,2013,0.731414322,743,0,-0.536522792,1,744,743,1,2.035616438
F,'004,'5O4,41163,FEMALE,'2A8,2013,2.224644203,521,0,2.437572586,1,522,521,1,1.42739726
F,'004,'5O6,41165,MALE,'34N,2013,1.251421871,769,0,0.49918649,1,770,769,1,2.106849315
OO,'065,'6P5,41175,MALE,'35N,2013,0.235804244,1909,0,-1.523639149,1,1910,1460,1,4
F,'073,'9N9,40945,MALE,'36Z,2012,1.279877343,2139,0,0.555861814,1,2140,1460,1,4
F,'004,'1O1,41186,MALE,'40L,2013,0.897140721,747,0,-0.206442257,1,748,747,1,2.046575342
F,'004,'2P9,41195,MALE,'42L,2013,0.828138498,2077,1,-0.343875344,0,2078,1460,1,4
F,'065,'1Q0,41170,MALE,'43F,2013,0.802683238,1914,0,-0.394575086,1,1915,1460,1,4
F,'065,'4P1,41175,MALE,'43J,2013,0.603913938,1909,0,-0.790467819,1,1910,1460,1,4
F,'004,'0O7,41158,MALE,'44J,2013,2.123299886,785,0,2.235723113,1,786,785,1,2.150684932
F,'065,'8P4,41160,FEMALE,'4C1,2013,1.898832927,786,0,1.788647848,1,787,786,1,2.153424658
F,'073,'5O3,41152,MALE,'4C2,2013,0.598662242,529,0,-0.800927724,1,530,529,1,1.449315068
F,'004,'0O0,41191,MALE,'50I,2013,0.509523491,472,0,-0.978467132,1,473,472,1,1.293150685
F,'004,'6O1,41173,FEMALE,'50S,2013,0.771894514,1911,0,-0.455897595,1,1912,1460,1,4
F,'065,'I1356E,41208,MALE,'56E,2013,0.323583597,280,1,-1.348807282,0,281,280,0,0.767123288
F,'004,'6P2,41217,MALE,'57H,2013,0.292394696,2550,0,-1.41092683,1,2551,1460,1,4
F,'065,'8P9,41160,FEMALE,'59A,2013,0.43460179,1924,0,-1.127690159,1,1925,1460,1,4
F,'065,'8P8,41176,FEMALE,'5C0,2013,0.727689385,1908,0,-0.543941821,1,1909,1460,1,4
F,'065,'6N5,40922,FEMALE,'60P,2012,1.492509551,745,0,0.979365573,1,746,745,1,2.04109589
F,'065,'2P6,41203,MALE,'60P,2013,1.492509551,460,0,0.979365573,1,461,460,1,1.260273973
F,'004,'5O5,41153,MALE,'61J,2013,0.865291666,1438,1,-0.269876647,0,1439,1438,0,3.939726027
F,'073,'6O2,41165,FEMALE,'62V,2013,0.414374001,1330,1,-1.167978245,0,1331,1330,0,3.643835616
F,'004,'6O4,41190,FEMALE,'63V,2013,1.203764603,760,0,0.404266571,1,761,760,1,2.082191781
